,New (Shinjitai),Radical,English meaning,Readings,URLs
10,学,子,study,まな-ぶ,"['ANd9GcTN5eF2WtecZ1-mQFFCSlRdUM6EQGNa2_WiqVl33qN9z074N0yABWOKIpLFUQ&s', 'ANd9GcQzhzarBr7YP_n307sKXBuCwyLZLr2gU3hfX4N_2vcgtJpnsA2i1EYKbg6jCw&s', 'ANd9GcQv2sJ9KIOtYUx4L66od2n6vlLM0Oc5FM4DmNXXarJYcXjmVvmVaSF5CwBBNQ&s', 'ANd9GcS10K0tAWHVL6d3s0y7pSykRBBrYKe2G15oj6XFbZy2Xhm6DstevtD58XUPOuQ&s', 'ANd9GcToqLmSIyQCzYMdSrVK9YX4e_4ymSE9_RsTbzZRohsb2A15_uG9Q7RtXTQ6dA&s', 'ANd9GcSN9_MvZrKnbrX3OoDcyU4Gpi-WdaSLVWh0Uwunx9ibtwthc8iWO2WnTSMtdw&s', 'ANd9GcQqtdhGWEWaNapAeXestBYSa-FX9a0fCwIkm9WoqugebXUcEt9e2b4QHcU7D0E&s', 'ANd9GcTOY8SJuQfZu0iq1vJIcH05hA-eZ8fSGnSQgZGOANm7eSiNWxliZxdVfU0LIg&s']"
11,気,气,feeling,ケ,"['ANd9GcQV93mFma8qlnE2AvTGg1pPJxM4YN7h242rs4HIwRUfP6fgTmAEudbtu0i5uQ&s', 'ANd9GcTbFHVDs80dZYW9flwkh0VIxDsKWJ_oep8rNl_NKRvyHxXae7WkoK6S-Wv7-w&s', 'ANd9GcRkH3fQk4DHGunAVJOCdp8EVdtNNd8l8mMlink8TJnX-5HWQ339_o6IkR8RCOw&s', 'ANd9GcTls88Gkxb_WJL5nXb2nl8O13GQl0oAukYHtqvacf5tWZMyAGN8e5WjY8BD_w&s', 'ANd9GcTrOv8Tk86vnOgPwCoqoq557fPuioftFX324G3ybVItbzc-o2o-9nlJ-64RWA&s', 'ANd9GcSRZ4zTHUxKjKTVBrUJ6wdygoEz420K90AB7722YAT3jYiOESmropjnE2yQJA&s', 'ANd9GcRXiwZ5m8Jni4uyAAyDuah8QHe7I7JkjCebWobic28nTsFv8fW2yfgqUn_RO8w&s', 'ANd9GcTwCfWpyg3enQuNepo6l-Rmt11CIglN8JJlP6s989-BRI6CQEfmtJkwjNqe3g&s']"
12,九,乙,nine,ここの,"['ANd9GcR42Yhg2zkt4AMIX65gK2GsSm99aPotKvcnhVTggTiRQjfmIvaZ0lVXcijCJlc&s', 'ANd9GcSrh_IXQuLRTHGn34UJCsZpzjA-JtOVgHuJODAl2lDp5eGM7e0gYKIVoQuiHA&s', 'ANd9GcQbCjNmoR3XHDDXL1YtJ47fhSzGv9nluo-QAk3zIpDjvX4IMCkBC706bw3NHQ&s', 'ANd9GcRuaqawCEIil_D710SLdNK3IqesnjZHDXXfRAo7p_wry2BOF6jhAOFIGEn09no&s', 'ANd9GcRO2dorT_27QeezQQBxs3qoUmYqxVdwwt6h-WoEWV2j0AXQa7cqdsPPNrO9h4U&s', 'ANd9GcQuFoaj8bxrmZ0LzfAwqMo_kF13Mpn-onHl8pBeF5kwLiUXoMhOphIxE9VUXhs&s', 'ANd9GcQuF5u3wtv4lBe7Fu3L10RUfb9AQ8pd1XFOl22VsOKCPy1AyRihVTPrjn54X0M&s', 'ANd9GcSrbEp43gNhng_yVA7GjAvnFOxwEa-3Y8jjwy-N7En9pKAn0YFb30UJ5-P7QaA&s']"
13,休,人,rest,やす-む,"['ANd9GcSLiHLzn14ObhfqFAggeSOU2g3-U3fZpDD0e8kv8TEw-2TCAcVXJ_7TOb_XElY&s', 'ANd9GcTH1XOJNm15wkfbwf5vvODe4GofPvu_K3Q7bcNLG-N1Ex9hpuXUMEZVXX-SMbk&s', 'ANd9GcSnyCXN0aC-BwUZ6rrC_ZwB2kprG4weWaOqBAtm45m1OvPTTFWhZZrqwHSBQg&s', 'ANd9GcRcimuwzhZZXU6FQKP-43gfD-3K-GYVeoKEwonZzDAbJgLxzKsygyMySfMEg74&s', 'ANd9GcQiqgCEO75G7Qy90vEsJh348mR8rxhnOB_ghWmzyWdCN2dFXTIBAr3gpOa5aUA&s', 'ANd9GcT_qPdmpcozo4LodJ9gYestPlwAhbiuDqaKIIQIaXZS5awoJP1-W2Cm-KuqXw&s', 'ANd9GcRTqedqVT_rGHZ996Lxh3vrrGFNs9FXTVWQan3s99LE6tgfqUVvAJ8rG1Zs0Q&s', 'ANd9GcS6m1HTHU_DgHh_A48K5EqT4vkp21ZAmHATpB8JQK9fXlC7rn2PfdwMPlVvrQ&s']"
14,玉,玉,ball,たま,"['ANd9GcRzRay8eAZv8petNMtGO6lvVGtgLbm-WqqJrHxnZuHOW-XY6DZG7YH0ChKxPsI&s', 'ANd9GcSuTRxkK0RJMa71jS7UrKFmt3Pw5nG8u06giX31uFyJOXW-ys20mqIkfmXLsg&s', 'ANd9GcTe0naDBN_Af3UmKXizImB6dSIjzBLHHS4_H5roMEjCMZfqt8cSgxBJKeVX9C0&s', 'ANd9GcRIUPYs-nFMZYN-Byk4IXBD7V-3PXJakb-D4Y8g1j0DMUuYuXwZs4P0QBHkSu8&s', 'ANd9GcS22xHtSAnYHt3z3dRCKvcjr2_MNjroHZR_MYepwYtsnmpImq4JBdw01Dh7GQU&s', 'ANd9GcSY250PDjzlfNy-SnQPoYETvwN9JlGEeTFQp1-L0jcd5G0QVKlcB-1972Dy4A&s', 'ANd9GcTcts-B1T8mHsLt_rpVO3vlDm26_drSlt9h1SDdlJ9twun7wR3KgRNIPQ0OaTE&s', 'ANd9GcQCTkuuLxhdOX5e6utgKaSaBo1tTzEdfo_VU7x1_lOc9P2BGB-uHnDnWJ1NYg&s']"
15,金,金,gold,かね,"['ANd9GcTGDJJaA97kZWIYzKmm2NFZfrZQSTLaVlw3ure-yEdL-RElWOLCw89YOmdAIA&s', 'ANd9GcRTm4ZGfkskC3s7-PJ1TwTN3jVp4pVTwu3IFP8fIjX1kgrcfHJJsP9YHeO6YLQ&s', 'ANd9GcQT_HSAesCQlO_0DYTsZ-onZRjuoVWxphvpP9GHaBUKZYHkWA3P8be9SDNZfMM&s', 'ANd9GcR5nFIw060OnH7I8T_oi5H4vC2ZK7omqU6Qvbnom_cYlP9t2eWmZxb9TGzbSYU&s', 'ANd9GcQCCs6505ZtdF0L3yagkIzayMbTGU_0a_0kUgV3wMO9Lpf2EhwbrnO7_vE09A&s', 'ANd9GcQS5INQ6RMpFuNwdHIent4z-3zaDTvP1sdJJ7TYe10sfredesJtEQuUqmcB-g&s', 'ANd9GcRxQmSuTQ9R9FnRXJo4WPRZ4-PlgG82j_rq9CXt_XwVfVzeXA5BIENSqBW6sA&s', 'ANd9GcQekqf5Cs4TK5pa088NOvZopZOODE1W-M_BeIm8dvUuBCRMqRRd-2AjYRoTVrA&s']"
16,空,穴,sky,そら,"['ANd9GcQjqVynBkK4KAhhjwIXPV8-4cMUBj5sbn8iVaiyfY_oL5nJeiCNWnh-fU9EkBM&s', 'ANd9GcQyGF9lm4rMnO6cxQY7ViCCk8QiBIYlwWKurBBH7s3ibFvkzBdInSEYqRVynA&s', 'ANd9GcQHVNGKv46OWoM2BcjqMeNQcNaM2EPJgdOPhD3izpFUux8GvvYeRxblx-hBAQ&s', 'ANd9GcTT0FyXW5Ta-X5uTbGSNdJ8peZC2Hs-psNGWLDc_-ObieWojGn670vMzz4hnC4&s', 'ANd9GcQ8tfKe4ooJ5VeBP034P_3fqGqr7lNzASKdjZ9XmTLERSxguC1GIB_kVg2kXQ&s', 'ANd9GcSTp7BMwp5FB76nRuDyWtTEVlKYMtjpY9QApCludNrESFFLmFxD1XhC40Yh9A&s', 'ANd9GcRuK62gnktBA8qLYihhYo3ASM_TT1pU41-KLVdLeoT05cnL_5sSt55E-hWC388&s', 'ANd9GcQh0lo2L37jwXdXv2z1m02K7j7B2EAs121yQ-aDxsvE-75uXai_hm1yJo6SvU8&s']"
17,月,月,month,つき,"['ANd9GcTU2dsakZbBHoF3AEY2rU2IKNPzvy56JbhPJ_vEOx3u9cvzckUH3Zf4lcGWtuU&s', 'ANd9GcR7ZtLMgi1pDaf0DEHynVBhCJt4ishfFJLHqlD2_BsW_WBpwIgIqTuczPa9Nw&s', 'ANd9GcTTYraEWaJ607anJMdnyDYIgOykc0_iq6jAqIh6lDYM_rJY_axOi7yh8Dv_h9A&s', 'ANd9GcRgbVfkmX2mtg5ZVKw0znD50axmoboix1IHh3vm6fXruPhqguHAIIFC_RByWw&s', 'ANd9GcTZOmr91co221iD8HXjHNXIKIiDk3CfqfgD9YRckTMGOX_b9c8X19xRYcB-7A&s', 'ANd9GcSIE36e9e6LiHJuQJ8EqKy92-sIktzZ9d8EQuJnqFG1cpWLNIhdF1AV55CfjB4&s', 'ANd9GcSze4M8Mx9PdjmKPcE8h-4LK1cpNGlc08OEMDEWeGDuD33sTdrs0sC-neqh5g&s', 'ANd9GcRLrEEcQWJr7TPv9NsmrTMOg-Ma8uBGxSUhhAaObGJOfD2sgPprKF28QfT9lew&s']"
18,犬,犬,dog,いぬ,"['ANd9GcTBJb8CF1ZYGsRExMc62JhHZwjYRUsWMKn34CZP-fZTCfzRxHTKUbZ-FlYO3g&s', 'ANd9GcSbvEH9Vc16neWLsEwNLEh1lRWSaLovGffIlsAyeecQsS5isvf1nKr5MbT7MA&s', 'ANd9GcRbRceZAxLN3EIw5BumfV6GfTCsu7Naw8_JvZmvIEYGFHQNEr6P3NfArFCHQg&s', 'ANd9GcRn-vxxvHZS764ssEpVQ6yvnY8jmeQdMEU8X6e-tz9ZG1BDnoKR9jiL4ZWq0iA&s', 'ANd9GcR8YkxNKkSV_T5JT0wRZucEUA9AGsJpPQvLSZ04qU36cI-Tpzdb4Dp-HW2ZrX8&s', 'ANd9GcSDRoe2iC69W3YaFU25CfQ7OrN-dBGb0UAb4RPDqHnFJUFGN_zqZCXD-LN_yFc&s', 'ANd9GcRsroWP5VAv1e9ivjvl2_NA9EtQcedx4hp8BVw3qgUYaiO-2QnzIRAGbrgtrhU&s', 'ANd9GcQCE3M2oC7cau_o4A__fY0uNi2uae4R1NZcxc3ITkfHmKxEXWmnBrQDrGPGybc&s']"
19,見,見,see,み-る,"['ANd9GcRj50TqCdoc6jrY7uZXotbkcSw2nwkHRzFZtKCvbwOkO71etWjx4oBDHpwHmw&s', 'ANd9GcT3mLAeqdhs6Pe_VcioMZQ1zRhVSv56ouw1OU1n8k8v-kGDEENCV-Pvu-n-7g&s', 'ANd9GcRdoUcNK-9MSTkayKR9K2OZeDKxQlewQ9s10rLpFJuDNB3oEL46FgYWChEW7w&s', 'ANd9GcQjQxNpkpZpGKGW0gpTkJ8bSxZXp7Z4oK9EBLTFWdG_tQUYrlx89IKc4OC8FPw&s', 'ANd9GcQq_s1s5mVZfeOCAo8bR-ZB6M1-2zBKlW4WJ_mY3lpXeLuwtFs0gX2pIrlIIEY&s', 'ANd9GcQ91stlNB5XggT3srL0Ab4LbSUgwRAWheeapwh7u2af363Z7Z3kCmcoEHhvIkI&s', 'ANd9GcRWKoqUD83X67YsF00-KXXvTri_tiQZRZShgXwWuJ53DgRLma7nYIeFxGhGxw&s', 'ANd9GcQ8Yf91VSY8zl-a7l0NH-zbjSXbwGmurUHnlRQJ_o1SouyPGpYkCpEEJwRKDl8&s']"
